Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
113,01:53,STM,0,7100,0,0,1,0,1289,0,0,0,1352,0,0,0,1748,0,0,0,1613,0,0,0,1096
113,01:53,JDG,0,7600,1,1,0,0,1919,0,0,0,1376,0,0,0,1748,0,0,0,1401,0,0,0,1143
114,01:54,STM,0,7200,0,0,1,0,1292,0,0,0,1355,0,0,0,1752,0,0,0,1657,0,0,0,1119
114,01:54,JDG,0,7600,1,1,0,0,1922,0,0,0,1379,0,0,0,1752,0,0,0,1404,0,0,0,1147
115,01:55,STM,0,7300,0,0,1,0,1296,0,0,0,1359,0,0,0,1755,0,0,0,1700,0,0,0,1143
115,01:55,JDG,0,7700,1,1,0,0,1966,0,0,0,1383,0,0,0,1755,0,0,0,1423,0,0,0,1150
116,01:56,STM,0,7300,0,0,1,0,1299,0,0,0,1386,0,0,0,1759,0,0,0,1704,0,0,0,1146
116,01:56,JDG,0,7900,1,1,0,0,2003,0,0,0,1386,0,0,0,1759,0,0,0,1521,0,0,0,1194
117,01:57,STM,0,7300,0,0,1,0,1303,0,0,0,1414,0,0,0,1762,0,0,0,1707,0,0,0,1150
117,01:57,JDG,0,7900,1,1,0,0,2007,0,0,0,1390,0,0,0,1762,0,0,0,1525,0,0,0,1197
118,01:58,STM,0,7500,0,0,1,0,1306,0,0,0,1525,0,0,0,1766,0,0,0,1711,0,0,0,1153
118,01:58,JDG,0,7900,1,1,0,0,2010,0,0,0,1393,0,0,0,1766,0,0,0,1543,0,0,0,1201
119,01:59,STM,0,7500,0,0,1,0,1310,0,0,0,1529,0,0,0,1769,0,0,0,1714,0,0,0,1157
119,01:59,JDG,0,7900,1,1,0,0,2014,0,0,0,1397,0,0,0,1769,0,0,0,1547,0,0,0,1204
120,02:00,STM,0,7500,0,0,1,0,1313,0,0,0,1532,0,0,0,1773,0,0,0,1718,0,0,0,1160
120,02:00,JDG,0,7900,1,1,0,0,2017,0,0,0,1400,0,0,0,1773,0,0,0,1550,0,0,0,1208
121,02:01,STM,0,7600,0,0,1,0,1346,0,0,0,1539,0,0,0,1780,0,0,0,1725,0,0,0,1167
121,02:01,JDG,0,8000,1,1,0,0,2024,0,0,0,1407,0,0,0,1780,0,0,0,1557,0,0,0,1215
122,02:02,STM,0,7700,0,0,1,0,1435,0,0,0,1543,0,0,0,1783,0,0,0,1728,0,0,0,1171
122,02:02,JDG,0,8000,1,1,0,0,2028,0,0,0,1411,0,0,0,1783,0,0,0,1561,0,0,0,1218
123,02:03,STM,0,7700,0,0,1,0,1478,0,0,0,1546,0,0,0,1787,0,0,0,1732,0,0,0,1174
123,02:03,JDG,0,8000,1,1,0,0,2031,0,0,0,1414,0,0,0,1787,0,0,0,1577,0,0,0,1235
125,02:05,STM,0,7800,0,0,1,0,1508,0,0,0,1550,0,0,0,1790,0,0,0,1735,0,0,0,1178
125,02:05,JDG,0,8100,1,1,0,0,2035,0,0,0,1418,0,0,0,1790,0,0,0,1581,0,0,0,1238
126,02:06,STM,0,7800,0,0,1,0,1551,0,0,0,1553,0,0,0,1794,0,0,0,1739,0,0,0,1181
126,02:06,JDG,0,8100,1,1,0,0,2068,0,0,0,1421,0,0,0,1794,0,0,0,1584,0,0,0,1242
127,02:07,STM,0,7800,0,0,1,0,1555,0,0,0,1557,0,0,0,1797,0,0,0,1742,0,0,0,1185
127,02:07,JDG,0,8100,1,1,0,0,2072,0,0,0,1425,0,0,0,1797,0,0,0,1588,0,0,0,1245
128,02:08,STM,0,7900,0,0,1,0,1558,0,0,0,1560,0,0,0,1801,0,0,0,1746,0,0,0,1188
128,02:08,JDG,0,8300,1,1,0,0,2075,0,0,0,1548,0,0,0,1801,0,0,0,1591,0,0,0,1249
129,02:09,STM,0,7900,0,0,1,0,1562,0,0,0,1564,0,0,0,1804,0,0,0,1749,0,0,0,1192
129,02:09,JDG,0,8300,1,1,0,0,2079,0,0,0,1552,0,0,0,1804,0,0,0,1595,0,0,0,1252
130,02:10,STM,0,7900,0,0,1,0,1565,0,0,0,1567,0,0,0,1808,0,0,0,1753,0,0,0,1195
130,02:10,JDG,0,8300,1,1,0,0,2082,0,0,0,1555,0,0,0,1808,0,0,0,1598,0,0,0,1256
131,02:11,STM,0,7900,0,0,1,0,1569,0,0,0,1571,0,0,0,1811,0,0,0,1756,0,0,0,1199
